entry_date,entry_price,exit_date,exit_price,exit_reason,ambiguous,profit,return_pct,r_multiple,direction,entry_type,days_held,mae,mfe
2017-02-13,113.97000122070312,2017-02-17,112.97000122070312,stop_loss,False,-1.01,-0.008861981128210511,-1.01,long,market,5,1.34100341796875,0.9710006713867188
2017-02-23,113.375,2017-02-24,112.375,stop_loss,False,-1.01,-0.008908489525909592,-1.01,long,market,2,1.3109970092773438,0.04199981689451704
2017-03-03,114.322998046875,2017-03-16,113.322998046875,stop_loss,False,-1.01,-0.008834617856906424,-1.01,long,market,10,1.4029998779296733,1.1650009155273438
2017-04-27,111.1750030517578,2017-05-09,113.20999908447266,take_profit,False,2.024996032714858,0.01821449046214207,2.024996032714858,long,market,9,0.12250518798828125,3.029998779296875
2017-06-19,110.97799682617188,2017-06-30,112.00900268554688,time_exit,False,1.021005859375,0.009200074686644702,1.021005859375,long,market,10,0.06900024414063921,1.9420013427734517
2017-07-19,111.9739990234375,2017-07-24,110.94400024414062,stop_loss,False,-1.039998779296875,-0.009287859577822088,-1.039998779296875,long,market,4,1.3460006713867188,0.4329986572265625
2017-08-31,110.46800231933594,2017-09-04,109.46800231933594,stop_loss,False,-1.01,-0.009142919024464092,-1.01,long,market,3,1.0709991455078125,0.17699432373046875
2017-09-14,110.50800323486328,2017-09-21,112.572998046875,take_profit,False,2.054994812011719,0.018595891264492643,2.054994812011719,long,market,6,0.5890045166015625,2.1989974975585938
2017-10-20,112.6449966430664,2017-11-02,114.1520004272461,time_exit,False,1.4970037841796875,0.01328957191878821,1.4970037841796875,long,market,10,0.03899383544920454,1.7910003662109375
2017-11-14,113.5999984741211,2017-11-15,112.5999984741211,stop_loss,False,-1.01,-0.008890845189844659,-1.01,long,market,2,1.08599853515625,0.30699920654296875
2017-12-05,112.50800323486328,2017-12-18,112.71600341796876,time_exit,False,0.19800018310548295,0.0017598764302318352,0.19800018310548295,long,market,10,0.500999450683608,1.2309951782226562
2018-01-09,113.17400360107422,2018-01-10,112.17400360107422,stop_loss,False,-1.01,-0.00892431095360148,-1.01,long,market,2,1.8930053710937358,0.0
