Date,Open,High,Low,Close
2021-10-11,1.15674,1.15867,1.15478,1.15532
2021-10-12,1.15533,1.15703,1.15242,1.15304
2021-10-13,1.15305,1.15994,1.15299,1.15968
2021-10-14,1.15966,1.16242,1.15839,1.15903
2021-10-15,1.15903,1.16185,1.15881,1.15983
2021-10-18,1.15903,1.16223,1.15717,1.16131
2021-10-19,1.16133,1.16693,1.1613,1.16313
2021-10-20,1.16313,1.16586,1.16168,1.16523
2021-10-21,1.16522,1.16674,1.16194,1.16246
2021-10-22,1.16249,1.16556,1.1621,1.16395
2021-10-25,1.16382,1.16649,1.15907,1.16087
2021-10-26,1.16087,1.16257,1.15848,1.15962
2021-10-27,1.15962,1.16259,1.15849,1.15982
2021-10-28,1.15984,1.16921,1.15821,1.16821
2021-10-29,1.16821,1.16899,1.1535,1.15529
2021-11-01,1.15576,1.1609,1.1546,1.15995
2021-11-02,1.15996,1.16133,1.15751,1.1579
2021-11-03,1.1579,1.16164,1.15622,1.16152
2021-11-04,1.16152,1.1616,1.15282,1.15552
2021-11-05,1.15553,1.15731,1.15132,1.15631
2021-11-08,1.15566,1.15949,1.15503,1.15877
2021-11-09,1.15877,1.16087,1.15698,1.1594
2021-11-10,1.1594,1.15952,1.14759,1.14856
2021-11-11,1.14856,1.14875,1.14428,1.14474
2021-11-12,1.14477,1.1462,1.14328,1.14413
2021-11-15,1.14473,1.14638,1.13562,1.13668
2021-11-16,1.1367,1.13856,1.13089,1.13179
2021-11-17,1.1318,1.13321,1.12635,1.13178
2021-11-18,1.13178,1.1374,1.13137,1.13676
2021-11-19,1.13677,1.13692,1.12499,1.12794
2021-11-22,1.12873,1.12907,1.12306,1.12417
2021-11-23,1.12415,1.1275,1.12259,1.12445
2021-11-24,1.12444,1.12552,1.11859,1.12025
2021-11-25,1.12025,1.12296,1.12025,1.12091
2021-11-26,1.12091,1.13301,1.12067,1.13071
2021-11-29,1.13004,1.13134,1.12583,1.12925
2021-11-30,1.12925,1.13828,1.12349,1.13299
2021-12-01,1.13298,1.13596,1.13025,1.13187
2021-12-02,1.13189,1.13476,1.12953,1.13057
2021-12-03,1.13057,1.13333,1.12665,1.13117
2021-12-06,1.13046,1.13129,1.12663,1.12834
2021-12-07,1.12833,1.12984,1.12275,1.12723
2021-12-08,1.12725,1.13547,1.12667,1.13441
2021-12-09,1.13441,1.13442,1.12783,1.12936
2021-12-10,1.12935,1.13239,1.12651,1.13146
2021-12-13,1.131,1.13192,1.126,1.12834
2021-12-14,1.12834,1.13238,1.12535,1.12575
2021-12-15,1.12575,1.12991,1.12215,1.12902
