Date,Open,High,Low,Close
2016-01-11,1.45239,1.46042,1.44921,1.45422
2016-01-12,1.45422,1.456,1.43518,1.44346
2016-01-13,1.44346,1.44757,1.43799,1.4409
2016-01-14,1.44095,1.44452,1.43599,1.44228
2016-01-15,1.44229,1.44277,1.42485,1.42485
2016-01-18,1.42504,1.43231,1.42368,1.42504
2016-01-19,1.42505,1.43396,1.41291,1.4179
2016-01-20,1.4179,1.4219,1.41251,1.41977
2016-01-21,1.41976,1.42487,1.40793,1.42251
2016-01-22,1.42251,1.43627,1.42045,1.42619
2016-01-25,1.42652,1.43092,1.42233,1.42401
2016-01-26,1.42399,1.43668,1.41729,1.43417
2016-01-27,1.43417,1.43549,1.42297,1.42432
2016-01-28,1.42431,1.44073,1.42385,1.4358
2016-01-29,1.43579,1.4413,1.41491,1.42409
2016-02-01,1.425,1.44447,1.42276,1.44236
2016-02-02,1.44236,1.44456,1.43259,1.44059
2016-02-03,1.4406,1.46488,1.43835,1.45847
2016-02-04,1.45845,1.4668,1.45293,1.45779
2016-02-05,1.45781,1.45901,1.44519,1.44999
2016-02-08,1.44798,1.45467,1.43519,1.44331
2016-02-09,1.44331,1.45152,1.4378,1.44606
2016-02-10,1.44604,1.45783,1.44399,1.45213
2016-02-11,1.45214,1.45633,1.43831,1.4478
2016-02-12,1.4478,1.45695,1.44428,1.44996
2016-02-15,1.45003,1.4535,1.44129,1.44531
2016-02-16,1.44531,1.45158,1.42759,1.43019
2016-02-17,1.43019,1.43387,1.42351,1.42803
2016-02-18,1.42804,1.43944,1.42561,1.43284
2016-02-19,1.43284,1.4408,1.42464,1.44014
2016-02-22,1.42611,1.43056,1.4057,1.41479
2016-02-23,1.41479,1.41556,1.40049,1.40049
2016-02-24,1.40049,1.40169,1.38782,1.39286
2016-02-25,1.39286,1.39961,1.38997,1.39659
2016-02-26,1.39658,1.40424,1.38535,1.3869
2016-02-29,1.38556,1.39461,1.38358,1.39264
2016-03-01,1.39264,1.40183,1.39039,1.39589
2016-03-02,1.39591,1.40931,1.39142,1.40781
2016-03-03,1.40783,1.41938,1.40326,1.41709
2016-03-04,1.41709,1.42484,1.41073,1.4229
2016-03-07,1.42158,1.42832,1.41337,1.42589
2016-03-08,1.42589,1.42751,1.41734,1.42043
2016-03-09,1.42043,1.42407,1.4177,1.42057
2016-03-10,1.42056,1.43167,1.41178,1.4283
2016-03-11,1.42829,1.44361,1.42543,1.43821
2016-03-14,1.43647,1.4389,1.42718,1.42794
2016-03-15,1.42794,1.42836,1.41389,1.41551
2016-03-16,1.41552,1.42732,1.40526,1.425
2016-03-17,1.42499,1.4503,1.42213,1.4474
2016-03-18,1.4474,1.45141,1.44101,1.4475
2016-03-21,1.44339,1.44672,1.43647,1.43653
2016-03-22,1.43653,1.43972,1.41903,1.42219
2016-03-23,1.42221,1.4227,1.40816,1.41132
2016-03-24,1.41132,1.41824,1.40568,1.41315
2016-03-25,1.41315,1.41568,1.41083,1.41211
2016-03-28,1.41273,1.42826,1.41199,1.42592
2016-03-29,1.4259,1.44036,1.41945,1.43837
2016-03-30,1.43839,1.44588,1.43605,1.43713
2016-03-31,1.43712,1.44259,1.43256,1.43646
2016-04-01,1.43648,1.43709,1.41705,1.42211
2016-04-04,1.42201,1.43215,1.41906,1.42619
2016-04-05,1.42618,1.42783,1.41216,1.41552
2016-04-06,1.41552,1.41711,1.40048,1.41311
2016-04-07,1.4131,1.41567,1.40469,1.40517
2016-04-08,1.40517,1.41408,1.40403,1.41231
2016-04-11,1.41132,1.42865,1.41048,1.42318
2016-04-12,1.42316,1.43476,1.41962,1.42653
2016-04-13,1.42651,1.4279,1.41868,1.41882
2016-04-14,1.4188,1.41896,1.40903,1.41398
2016-04-15,1.41398,1.42417,1.41325,1.41982
2016-04-18,1.41969,1.42923,1.4131,1.42836
2016-04-19,1.42836,1.44187,1.42832,1.43855
2016-04-20,1.43855,1.44101,1.43296,1.43356
2016-04-21,1.43356,1.44402,1.42992,1.43224
2016-04-22,1.4322,1.44514,1.43185,1.43983
2016-04-25,1.4462,1.45191,1.44025,1.44859
2016-04-26,1.44858,1.46385,1.44846,1.45729
2016-04-27,1.45729,1.46217,1.44728,1.45382
2016-04-28,1.45383,1.46221,1.45225,1.46096
2016-04-29,1.461,1.467,1.45764,1.46085
2016-05-02,1.45825,1.4696,1.45825,1.46612
2016-05-03,1.46612,1.47698,1.45289,1.45474
2016-05-04,1.45475,1.45714,1.44613,1.45044
2016-05-05,1.45043,1.45289,1.44436,1.44904
2016-05-06,1.44906,1.45438,1.44147,1.44203
2016-05-09,1.44108,1.44793,1.43747,1.44102
2016-05-10,1.44102,1.44777,1.43885,1.44494
2016-05-11,1.44495,1.44879,1.43945,1.44343
2016-05-12,1.44342,1.45303,1.44061,1.44438
2016-05-13,1.44438,1.44469,1.43403,1.43546
2016-05-16,1.43437,1.44683,1.43323,1.44426
2016-05-17,1.44427,1.4524,1.4431,1.44554
2016-05-18,1.44554,1.4634,1.44032,1.45934
2016-05-19,1.45935,1.46629,1.45615,1.45974
2016-05-20,1.45981,1.46128,1.44856,1.44988
2016-05-23,1.45028,1.45489,1.44422,1.4478
2016-05-24,1.4478,1.46419,1.44769,1.46126
2016-05-25,1.46122,1.47288,1.46008,1.46952
2016-05-26,1.46952,1.47394,1.464,1.46646
2016-05-27,1.46644,1.46884,1.46045,1.46152
2016-05-30,1.46064,1.46411,1.45871,1.46325
2016-05-31,1.46326,1.47253,1.44646,1.44825
2016-06-01,1.44827,1.45071,1.43857,1.44188
2016-06-02,1.44189,1.44727,1.44018,1.4405
2016-06-03,1.44052,1.45814,1.43986,1.45075
2016-06-06,1.44627,1.44819,1.43517,1.44562
2016-06-07,1.44565,1.46607,1.44518,1.45412
2016-06-08,1.45412,1.46,1.45,1.45127
2016-06-09,1.45127,1.45269,1.44452,1.4463
