Date,Open,High,Low,Close
2021-04-14,108.924,109.094,108.751,108.893
2021-04-15,108.893,108.957,108.611,108.69
2021-04-16,108.69,108.964,108.61,108.75
2021-04-19,108.768,108.834,108.008,108.108
2021-04-20,108.108,108.548,107.97,108.132
2021-04-21,108.132,108.28,107.874,108.042
2021-04-22,108.042,108.231,107.813,107.986
2021-04-23,107.986,108.146,107.476,107.864
2021-04-26,107.907,108.209,107.64,108.198
2021-04-27,108.199,108.777,108.099,108.75
2021-04-28,108.749,109.077,108.5,108.506
2021-04-29,108.505,109.223,108.435,108.906
2021-04-30,108.904,109.364,108.711,109.296
2021-05-03,109.283,109.696,108.895,109.087
2021-05-04,109.088,109.488,109.042,109.332
2021-05-05,109.331,109.48,109.143,109.22
2021-05-06,109.22,109.428,109.0,109.051
2021-05-07,109.05,109.287,108.337,108.565
2021-05-10,108.55,109.056,108.467,108.846
2021-05-11,108.848,108.982,108.349,108.716
2021-05-12,108.715,109.708,108.661,109.662
2021-05-13,109.664,109.784,109.405,109.517
2021-05-14,109.517,109.656,109.186,109.322
2021-05-17,109.26,109.501,109.073,109.24
2021-05-18,109.241,109.283,108.83,108.867
2021-05-19,108.868,109.335,108.571,109.262
2021-05-20,109.261,109.296,108.748,108.861
2021-05-21,108.862,109.004,108.609,108.929
2021-05-24,108.895,108.995,108.695,108.851
2021-05-25,108.847,109.07,108.559,108.791
2021-05-26,108.794,109.178,108.723,109.17
2021-05-27,109.171,109.923,109.036,109.809
2021-05-28,109.81,110.198,109.742,109.809
2021-05-31,109.798,109.935,109.351,109.492
2021-06-01,109.493,109.706,109.33,109.495
2021-06-02,109.495,109.884,109.481,109.596
2021-06-03,109.595,110.329,109.565,110.29
2021-06-04,110.291,110.328,109.363,109.476
2021-06-07,109.58,109.637,109.187,109.273
2021-06-08,109.272,109.558,109.198,109.47
2021-06-09,109.47,109.66,109.224,109.613
2021-06-10,109.614,109.794,109.305,109.393
2021-06-11,109.393,109.842,109.317,109.621
2021-06-14,109.601,110.098,109.601,110.042
2021-06-15,110.043,110.166,109.986,110.082
2021-06-16,110.081,110.8,109.803,110.77
2021-06-17,110.772,110.822,110.166,110.325
2021-06-18,110.324,110.482,109.941,110.137
2021-06-21,110.147,110.38,109.714,110.377
2021-06-22,110.378,110.791,110.211,110.653
2021-06-23,110.653,111.105,110.645,111.012
2021-06-24,111.013,111.114,110.689,110.919
2021-06-25,110.92,110.983,110.48,110.74
2021-06-28,110.729,110.976,110.496,110.605
2021-06-29,110.605,110.759,110.431,110.534
2021-06-30,110.535,111.137,110.419,111.13
2021-07-01,111.131,111.639,111.026,111.571
2021-07-02,111.571,111.657,110.95,111.01
2021-07-05,110.9,111.189,110.796,110.916
2021-07-06,110.917,110.929,110.521,110.601
2021-07-07,110.601,110.816,110.394,110.635
2021-07-08,110.634,110.648,109.533,109.801
2021-07-09,109.802,110.257,109.761,110.094
2021-07-12,110.115,110.403,109.976,110.328
2021-07-13,110.329,110.646,110.197,110.597
2021-07-14,110.597,110.698,109.927,109.996
2021-07-15,109.996,110.088,109.713,109.78
2021-07-16,109.777,110.341,109.731,110.066
2021-07-19,110.026,110.097,109.063,109.528
2021-07-20,109.528,109.956,109.328,109.919
2021-07-21,109.917,110.387,109.8,110.248
2021-07-22,110.248,110.357,110.013,110.141
2021-07-23,110.141,110.592,110.112,110.508
2021-07-26,110.466,110.583,110.116,110.306
2021-07-27,110.307,110.329,109.583,109.806
2021-07-28,109.807,110.288,109.743,109.891
2021-07-29,109.89,109.911,109.401,109.41
2021-07-30,109.41,109.826,109.36,109.672
2021-08-02,109.669,109.77,109.186,109.27
2021-08-03,109.271,109.333,108.875,108.991
2021-08-04,108.989,109.673,108.721,109.534
2021-08-05,109.534,109.789,109.403,109.751
2021-08-06,109.753,110.356,109.698,110.199
2021-08-09,110.296,110.352,110.026,110.321
2021-08-10,110.322,110.601,110.301,110.598
2021-08-11,110.598,110.801,110.307,110.376
2021-08-12,110.374,110.546,110.315,110.401
2021-08-13,110.402,110.458,109.544,109.562
2021-08-16,109.599,109.751,109.113,109.3
2021-08-17,109.299,109.654,109.116,109.538
2021-08-18,109.537,110.064,109.478,109.84
2021-08-19,109.84,110.228,109.483,109.769
2021-08-20,109.769,109.885,109.569,109.7
2021-08-23,109.73,110.146,109.649,109.676
2021-08-24,109.676,109.881,109.412,109.73
2021-08-25,109.727,110.124,109.684,109.978
2021-08-26,109.978,110.229,109.926,110.048
